BI00B32H8    @2207AKMW      20220728181B32102Y9              AVSSCS 0.5FX2 DGY/P      CCN000000300000000300FY00000030020220701000000000NNE30 20220727143749    1W    00000030000002903000000000032H8    TYTYC   000000000000LG326001
BI00B32W4    4500197324     2022092018018403760              CAVS 0.3 G               CCN000028000000028000FN00000000020220901000028000NNE   20220727101402W41 1W    00000200000000471000000000032W41   HJYHK-J 000000000000OC129015
BI00B32W4    4500197324     2022092018018403770              CAVS 0.3 Y               CCN000022000000022000FN00000000020220901000022000NNE   20220727101402W41 1W    00000200000000471000000000032W41   HJYHK-J 000000000000OC129026
BI00B32W4    4500197324     2022092018018403780              CAVS 0.3 BR              CCN000008000000008000FN00000000020220901000008000NNE   20220727101402W41 1W    00000200000000471000000000032W41   HJYHK-J 000000000000OC129013
BI00B32W4    4500197324     2022092018018403790              CAVS 0.3 L               CCN000016000000016000FN00000000020220901000016000NNE   20220727101402W41 1W    00000200000000471000000000032W41   HJYHK-J 000000000000OC129018
BI00B32W4    4500197324     2022092018018403761              CAVS 0.3 LG              CCN000010000000010000FN00000000020220901000010000NNE   20220727101402W41 1W    00000200000000471000000000032W41   HJYHK-J 000000000000OC129020
BI00B32W4    4500197324     2022092018018403741              CAVS 0.3 GY              CCN000014000000014000FN00000000020220901000014000NNE   20220727101402W41 1W    00000200000000471000000000032W41   HJYHK-J 000000000000OC129017
BI00B32W4    4500197324     2022092018018403793              CAVS 0.3 L/B             CCN000004000000004000FN00000000020220901000004000NNE   20220727101402W41 1W    00000200000000471000000000032W41   HJYHK-J 000000000000OC129019
BI00B32W4    4500197324     2022092018018403784              CAVS 0.3 BR/W            CCN000006000000006000FN00000000020220901000006000NNE   20220727101402W41 1W    00000200000000471000000000032W41   HJYHK-J 000000000000OC129014
BI00B32W4    4500197324     2022092018018403937              CAVS 0.5 B/Y             CCN000003000000003000FN00000000020220901000003000NNE   20220727101402W41 1W    00000150000000677000000000032W41   HJYHK-J 000000000000OC129030
BI00B32W4    4500197324     2022092018018403934              CAVS 0.5 B/W             CCN000012000000012000FN00000000020220901000012000NNE   20220727101402W41 1W    00000150000000677000000000032W41   HJYHK-J 000000000000OC129029
BI00B32W4    4500197324     2022092018018403930              CAVS 0.5 B               CCN000019500000019500FN00000000020220901000019500NNE   20220727101402W41 1W    00000150000000677000000000032W41   HJYHK-J 000000000000OC129027
BI00B32W4    4500197324     2022092018018403940              CAVS 0.5 W               CCN000006000000006000FN00000000020220901000006000NNE   20220727101402W41 1W    00000150000000677000000000032W41   HJYHK-J 000000000000OC129041
BI00B32W4    4500197324     2022092018018403950              CAVS 0.5 R               CCN000015000000015000FN00000000020220901000015000NNE   20220727101402W41 1W    00000150000000677000000000032W41   HJYHK-J 000000000000OC129036
BI00B32W4    4500197324     2022092018018403951              CAVS 0.5 O               CCN000004500000004500FN00000000020220901000004500NNE   20220727101402W41 1W    00000150000000677000000000032W41   HJYHK-J 000000000000OC129034
BI00B32W4    4500197324     2022092018018403952              CAVS 0.5 P               CCN000004500000004500FN00000000020220901000004500NNE   20220727101402W41 1W    00000150000000677000000000032W41   HJYHK-J 000000000000OC129035
BI00B32W4    4500197324     2022092018018403961              CAVS 0.5 LG              CCN000001500000001500FN00000000020220901000001500NNE   20220727101402W41 1W    00000150000000677000000000032W41   HJYHK-J 000000000000OC129033
BI00B32W4    4500197324     2022092018018403970              CAVS 0.5 Y               CCN000001500000001500FN00000000020220901000001500NNE   20220727101402W41 1W    00000150000000677000000000032W41   HJYHK-J 000000000000OC129042
BI00B32W4    4500197324     2022092018018403980              CAVS 0.5 BR              CCN000001500000001500FN00000000020220901000001500NNE   20220727101402W41 1W    00000150000000677000000000032W41   HJYHK-J 000000000000OC129031
BI00B32W4    4500197324     2022092018018403990              CAVS 0.5 L               CCN000004500000004500FN00000000020220901000004500NNE   20220727101402W41 1W    00000150000000677000000000032W41   HJYHK-J 000000000000OC129032
BI00B32W4    4500197324     2022092018018403992              CAVS 0.5 V               CCN000015000000015000FN00000000020220901000015000NNE   20220727101402W41 1W    00000150000000677000000000032W41   HJYHK-J 000000000000OC129038
BI00B32W4    4500197324     2022092018018404130              CAVS 1.25 B              CCN000004800000004800FN00000000020220901000004800NNE   20220727101402W41 1W    00000080000001378000000000032W41   HJYHK-J 000000000000OC129043
BI00B32W4    4500197324     2022092018018404141              CAVS 1.25 GY             CCN000004800000004800FN00000000020220901000004800NNE   20220727101402W41 1W    00000080000001378000000000032W41   HJYHK-J 000000000000OC129045
BI00B32W4    4500197324     2022092018018404160              CAVS 1.25 G              CCN000003200000003200FN00000000020220901000003200NNE   20220727101402W41 1W    00000080000001378000000000032W41   HJYHK-J 000000000000OC129044
BI00B32W4    4500197324     202209201801R706950              CIVUS 0.35 R             CCN000006000000006000FN00000000020220901000006000NNE   20220727101402W41 1W    00000300000000386000000000032W41   HJYHK-J 000000000000OC129008
BI00B32W4    4500197324     2022092018018403739              CAVS 0.3 B/L             CCN000004000000004000FN00000000020220901000004000NNE   20220727101402W41 1W    00000200000000471000000000032W41   HJYHK-J 000000000000OC129012
BI00B32W4    4500197324     202209201801R706940              CIVUS 0.35 W             CCN000003000000003000FN00000000020220901000003000NNE   20220727101402W41 1W    00000300000000386000000000032W41   HJYHK-J 000000000000OC129009
BI00B32W4    4500197324     202209201801R706930              CIVUS 0.35 B             CCN000006000000006000FN00000000020220901000006000NNE   20220727101402W41 1W    00000300000000386000000000032W41   HJYHK-J 000000000000OC129005
BI00B32W4    4500197324     202209201801R706970              CIVUS 0.35 Y             CCN000006000000006000FN00000000020220901000006000NNE   20220727101402W41 1W    00000300000000386000000000032W41   HJYHK-J 000000000000OC129010
BI00B32W4    4500197324     202209201801R706990              CIVUS 0.35 L             CCN000006000000006000FN00000000020220901000006000NNE   20220727101402W41 1W    00000300000000386000000000032W41   HJYHK-J 000000000000OC129007
BI00B32W4    4500197324     2022092018018403769              CAVS 0.3 G/L             CCN000002000000002000FN00000000020220901000002000NNE   20220727101402W41 1W    00000200000000471000000000032W41   HJYHK-J 000000000000OC129016
BI00B32W4    4500197324     202209201801R706980              CIVUS 0.35 BR            CCN000003000000003000FN00000000020220901000003000NNE   20220727101402W41 1W    00000300000000386000000000032W41   HJYHK-J 000000000000OC129006
BI00B32W4    4500197324     2022092018009604350              AVS 3 R                  CCN000002800000002800FN00000000020220901000002800NNE   20220727101402W41 1W    00000040000003831600000000032W41   HJYHK-J 000000000000OC129002
BI00B32W4    4500197324     202209201801R703930              CIVUS 0.5 B              CCN000004400000004400FN00000000020220901000004400NNE   20220727101402W41 1W    00000220000000525000000000032W41   HJYHK-J 000000000000OC129003
BI00B32W4    4500197324     2022092018009604339              AVS 3 B/L                CCN000002800000002800FN00000000020220901000002800NNE   20220727101402W41 1W    00000040000003831600000000032W41   HJYHK-J 000000000000OC129001
BI00B32W4    4500197324     2022092018018403733              CAVS 0.3 V/W             CCN000002000000002000FN00000000020220901000002000NNE   20220727101402W41 1W    00000200000000471000000000032W41   HJYHK-J 000000000000OC129024
BI00B32W4    4500197324     2022092018018403933              CAVS 0.5 V/W             CCN000001500000001500FN00000000020220901000001500NNE   20220727101402W41 1W    00000150000000677000000000032W41   HJYHK-J 000000000000OC129040
BI00B32W4    4500197324     2022092018018403956              CAVS 0.5 R/G             CCN000001500000001500FN00000000020220901000001500NNE   20220727101402W41 1W    00000150000000677000000000032W41   HJYHK-J 000000000000OC129037
BI00B32W4    4500197324     20220920180184039G9              CAVS 0.5 V/G             CCN000004500000004500FN00000000020220901000004500NNE   20220727101402W41 1W    00000150000000677000000000032W41   HJYHK-J 000000000000OC129039
BI00B32W4    4500197324     202209201801R703970              CIVUS 0.5 Y              CCN000004400000004400FN00000000020220901000004400NNE   20220727101402W41 1W    00000220000000525000000000032W41   HJYHK-J 000000000000OC129004
BI00B32W4    4500197324     2022092018018403939              CAVS 0.5 B/L             CCN000003000000003000FN00000000020220901000003000NNE   20220727101402W41 1W    00000150000000677000000000032W41   HJYHK-J 000000000000OC129028
BI00B32W4    @4500197331    20220920181B09116K3              CAVSAS 0.3X2 GY/P        CCN000003500000003500FN00000000020220901000003500NNE   20220727101715W4N21W    00000035000002254000000000032W4N2  HJYHK-J 000000000000OD129001
BI00B32W4    4500197332     2022090618018403952              CAVS 0.5 P               CCN000010500000010500FN00000000020220901000010500NNE   20220727101717W41 1W    00000150000000677000000000032W41   HJYHK-J 000000000000OR428003
BI00B32W4    4500197332     2022090618018403970              CAVS 0.5 Y               CCN000006000000006000FN00000000020220901000006000NNE   20220727101717W41 1W    00000150000000677000000000032W41   HJYHK-J 000000000000OR428004
BI00B32W4    4500197332     2022090618018403980              CAVS 0.5 BR              CCN000007500000007500FN00000000020220901000007500NNE   20220727101717W41 1W    00000150000000677000000000032W41   HJYHK-J 000000000000OR428001
BI00B32W4    4500197332     2022090618018403990              CAVS 0.5 L               CCN000006000000006000FN00000000020220901000006000NNE   20220727101717W41 1W    00000150000000677000000000032W41   HJYHK-J 000000000000OR428002
BI00B32W4    4500197332     2022090618018404030              CAVS 0.85 B              CCN000010000000010000FN00000000020220901000010000NNE   20220727101717W41 1W    00000100000000965000000000032W41   HJYHK-J 000000000000OR428005
BI00B32W4    4500197332     2022090618018404040              CAVS 0.85 W              CCN000014000000014000FN00000000020220901000014000NNE   20220727101717W41 1W    00000100000000965000000000032W41   HJYHK-J 000000000000OR428014
