BI00A1200    O022K50439     202209277288-6598-70             HOUSING MALE ASS'Y       CCN000002880000002880FY00000288020221101000000000NNED0020220927154250    4N0N  0000014400000107420000142921200    YCYC    005500360039
BI00B1200    2399T52A23     202211177289-6160-30             HOUSING FEMALE ASS'Y     CCN000001600000001600FN00000000020221201000001600NNM   20220927121701    4N0N  0000001600000103740000132041200    YCYC    005500360039
BI00B1200    2399T52A21     202211037289-6518-30             HOUSING FEMALE ASS'Y     CCN000016800000016800FN00000000020221201000016800NNM   20220927121701    1N0N  0000012000000082920000104921200    YCYC    005500360039
BI00B1200    2399T52A22     202211107289-6518-30             HOUSING FEMALE ASS'Y     CCN000016800000016800FN00000000020221201000016800NNM   20220927121701    1N0N  0000012000000082920000104921200    YCYC    005500360039
BI00B1200    2399T52A23     202211177289-6518-30             HOUSING FEMALE ASS'Y     CCN000016800000016800FN00000000020221201000016800NNM   20220927121701    1N0N  0000012000000082920000104921200    YCYC    005500360039
BI00B1200    2399T52A21     202211037289-6523-30             HOUSING FEMALE ASS'Y     CCN000001920000001920FN00000000020221201000001920NNM   20220927121701    4N0N  0000002400000129050000162051200    YCYC    005500360039
BI00B1200    2399T52A22     202211107289-6523-30             HOUSING FEMALE ASS'Y     CCN000001920000001920FN00000000020221201000001920NNM   20220927121701    4N0N  0000002400000129050000162051200    YCYC    005500360039
BI00B1200    2399T52A23     202211177289-6523-30             HOUSING FEMALE ASS'Y     CCN000001920000001920FN00000000020221201000001920NNM   20220927121701    4N0N  0000002400000129050000162051200    YCYC    005500360039
BI00B1200    2399T52A21     202211037289-6524-30             HOUSING FEMALE ASS'Y     CCN000003840000003840FN00000000020221201000003840NNM   20220927121701    4N0N  0000002400000135120000166621200    YCYC    005500360039
BI00B1200    2399T52A22     202211107289-6524-30             HOUSING FEMALE ASS'Y     CCN000003840000003840FN00000000020221201000003840NNM   20220927121701    4N0N  0000002400000135120000166621200    YCYC    005500360039
BI00B1200    2399T52A23     202211177289-6524-30             HOUSING FEMALE ASS'Y     CCN000003600000003600FN00000000020221201000003600NNM   20220927121701    4N0N  0000002400000135120000166621200    YCYC    005500360039
BI00B1200    2399T52A21     202211037289-6547                HOUSING FEMALE ASS'Y     CCN000139200000139200FN00000000020221201000139200NNM   20220927121701    1N0N  0000024000000115200000136201200    YCYC    005500360039
BI00B1200    2399T52A22     202211107289-6547                HOUSING FEMALE ASS'Y     CCN000139200000139200FN00000000020221201000139200NNM   20220927121701    1N0N  0000024000000115200000136201200    YCYC    005500360039
BI00B1200    2399T52A23     202211177289-6547                HOUSING FEMALE ASS'Y     CCN000139200000139200FN00000000020221201000139200NNM   20220927121701    1N0N  0000024000000115200000136201200    YCYC    005500360039
BI00B1200    2399T52A21     202211037289-6597-70             HOUSING FEMALE ASS'Y     CCN000002160000002160FN00000000020221201000002160NNM   20220927121701    4N0N  0000021600000128950000153951200    YCYC    005500360039
BI00B1200    2399T52A22     202211107289-6597-70             HOUSING FEMALE ASS'Y     CCN000002160000002160FN00000000020221201000002160NNM   20220927121701    4N0N  0000021600000128950000153951200    YCYC    005500360039
BI00B1200    2399T52A23     202211177289-6597-70             HOUSING FEMALE ASS'Y     CCN000002160000002160FN00000000020221201000002160NNM   20220927121701    4N0N  0000021600000128950000153951200    YCYC    005500360039
BI00B1200    2399T52A21     202211037289-6868-30             SEALED ASSY FEMALE       CCN000100800000100800FN00000000020221201000100800NNM   20220927121701    4N0N  0000025200000083920000111921200    YCYC    005500360039
BI00B1200    2399T52A22     202211107289-6868-30             SEALED ASSY FEMALE       CCN000100800000100800FN00000000020221201000100800NNM   20220927121701    4N0N  0000025200000083920000111921200    YCYC    005500360039
BI00B1200    2399T52A23     202211177289-6868-30             SEALED ASSY FEMALE       CCN000100800000100800FN00000000020221201000100800NNM   20220927121701    4N0N  0000025200000083920000111921200    YCYC    005500360039
BI00B1200    2399T52A21     202211037289-7212-30             HOUSING FEMALE ASS'Y     CCN000007920000007920FN00000000020221201000007920NNM   20220927121701    4N0N  0000002400000138840000159341200    YCYC    005500360039
