BI00B1200    #2399T52916    202210277189-3034-30             HOUSING FEMALE           CCN000017600000017600FN00000000020221101000017600NNM   20220825122421    2F0F  0000016000000097280000119281200    YCYC    005500360039
BI00B1200    #2399T52916    202210277189-3036                HOUSING FEMALE           CCN000003200000003200FN00000000020221101000003200NNM   20220825122421    2F0F  0000016000000092160000114161200    YCYC    005500360039
BI00B1200    #2399T52916    202210277189-3036-30             HOUSING FEMALE           CCN000001600000001600FN00000000020221101000001600NNM   20220825122421    2F0F  0000016000000092000000114001200    YCYC    005500360039
BI00B1200    #2399T52916    202210277198-1373-60             HOUSING FEMALE           CCN000020000000020000FN00000000020221101000020000NNM   20220825122421    2F0F  0000020000000081940000094741200    YCYC    005400370024
BI00B1200    2399T52917     202210067287-9323                UNSEALED HOUSING SUB     CCN000012000000012000FN00000000020221101000012000NNM   20220825122421    1N0N  0000024000000053760000069001200    YCYC    005600390023
BI00B1200    2399T52918     202210067287-9323                UNSEALED HOUSING SUB     CCN000012000000012000FN00000000020221101000012000NNM   20220825122421    1N0N  0000024000000053760000069001200    YCYC    005600390023
BI00B1200    2399T52919     202210207287-9323                UNSEALED HOUSING SUB     CCN000009600000009600FN00000000020221101000009600NNM   20220825122421    1N0N  0000024000000053760000069001200    YCYC    005600390023
BI00B1200    2399T52917     202210067287-9323-30             UNSEALED HOUSING SUB     CCN000002400000002400FN00000000020221101000002400NNM   20220825122421    1N0N  0000024000000053760000069001200    YCYC    005600390023
BI00B1200    2399T52917     202210067288-3334-30             HOUSING MALE             CCN000003000000003000FN00000000020221101000003000NNM   20220825122421    4N0N  0000015000000086700000101201200    YCYC    005400370024
BI00B1200    2399T52918     202210067288-3334-30             HOUSING MALE             CCN000003000000003000FN00000000020221101000003000NNM   20220825122421    4N0N  0000015000000086700000101201200    YCYC    005400370024
BI00B1200    2399T52919     202210207288-3334-30             HOUSING MALE             CCN000001500000001500FN00000000020221101000001500NNM   20220825122421    4N0N  0000015000000086700000101201200    YCYC    005400370024
BI00B1200    2399T52917     202210067288-3340-30             HOUSING MALE             CCN000001500000001500FN00000000020221101000001500NNM   20220825122421    4N0N  0000015000000086150000100641200    YCYC    005400370024
BI00B1200    2399T52918     202210067288-3340-30             HOUSING MALE             CCN000001500000001500FN00000000020221101000001500NNM   20220825122421    4N0N  0000015000000086150000100641200    YCYC    005400370024
BI00B1200    2399T52919     202210207288-3340-30             HOUSING MALE             CCN000001500000001500FN00000000020221101000001500NNM   20220825122421    4N0N  0000015000000086150000100641200    YCYC    005400370024
BI00B1200    2399T52917     202210067289-3342                HOUSING FEMALE ASS'Y     CCN000004800000004800FN00000000020221101000004800NNM   20220825122421    1N0N  0000024000000068640000090141200    YCYC    005500360039
BI00B1200    2399T52918     202210067289-3342                HOUSING FEMALE ASS'Y     CCN000004800000004800FN00000000020221101000004800NNM   20220825122421    1N0N  0000024000000068640000090141200    YCYC    005500360039
BI00B1200    2399T52919     202210207289-3342                HOUSING FEMALE ASS'Y     CCN000004800000004800FN00000000020221101000004800NNM   20220825122421    1N0N  0000024000000068640000090141200    YCYC    005500360039
BI00B1200    2399T52917     202210067289-3342-30             HOUSING FEMALE ASS'Y     CCN000004800000004800FN00000000020221101000004800NNM   20220825122421    1N0N  0000024000000068640000090141200    YCYC    005500360039
BI00B1200    2399T52918     202210067289-3342-30             HOUSING FEMALE ASS'Y     CCN000004800000004800FN00000000020221101000004800NNM   20220825122421    1N0N  0000024000000068640000090141200    YCYC    005500360039
BI00B1200    2399T52919     202210207289-3342-30             HOUSING FEMALE ASS'Y     CCN000002400000002400FN00000000020221101000002400NNM   20220825122421    1N0N  0000024000000068640000090141200    YCYC    005500360039
BI00B1200    2399T52917     202210067289-4212-80             SEALED HOUSING ASS'Y     CCN000018000000018000FN00000000020221101000018000NNM   20220825122421    4N0N  0000020000000084860000097861200    YCYC    005400370024
BI00B1200    2399T52918     202210067289-4212-80             SEALED HOUSING ASS'Y     CCN000018000000018000FN00000000020221101000018000NNM   20220825122421    4N0N  0000020000000084860000097861200    YCYC    005400370024
BI00B1200    2399T52919     202210207289-4212-80             SEALED HOUSING ASS'Y     CCN000016000000016000FN00000000020221101000016000NNM   20220825122421    4N0N  0000020000000084860000097861200    YCYC    005400370024
BI00B1200    2399T52917     202210067289-5979-30             HOUSING FEMALE ASS'Y     CCN000032760000032760FN00000000020221101000032760NNM   20220825122421    1N0N  0000002520000085470000106471200    YCYC    005400370024
BI00B1200    2399T52918     202210067289-5979-30             HOUSING FEMALE ASS'Y     CCN000032760000032760FN00000000020221101000032760NNM   20220825122421    1N0N  0000002520000085470000106471200    YCYC    005400370024
BI00B1200    2399T52919     202210207289-5979-30             HOUSING FEMALE ASS'Y     CCN000032760000032760FN00000000020221101000032760NNM   20220825122421    1N0N  0000002520000085470000106471200    YCYC    005400370024
BI00B1200    2399T52917     202210067289-6159-30             HOUSING FEMALE ASS'Y     CCN000001440000001440FN00000000020221101000001440NNM   20220825122421    4N0N  0000002400000109500000137501200    YCYC    005500360039
