BI00B1200    H322J50026     202209157298-4094-10             HOUSING FEMALE ASS'Y     CCN000006760000003380FN00000000020221001000003380NNEQ0020220901121518    4N0N  0000033800000109740000135871200    YCYC    005400370024
BI00B32AG    XG22121LMW     202211047289-7615-30             HOUSING FEMALE ASS'Y     CCN000003200000003200FN00000000020221201000003200NNM   20220901150120    4N0N  00000032000000738000000948032AG    XGXGY   005400370024
BI00B32AG    XG22122LMW     202211117289-7615-30             HOUSING FEMALE ASS'Y     CCN000003520000003520FN00000000020221201000003520NNM   20220901150120    4N0N  00000032000000738000000948032AG    XGXGY   005400370024
BI00B32AG    XG22123LMW     202211187289-7615-30             HOUSING FEMALE ASS'Y     CCN000003520000003520FN00000000020221201000003520NNM   20220901150120    4N0N  00000032000000738000000948032AG    XGXGY   005400370024
BI00B32AG    XG22124LMW     202211257289-7615-30             HOUSING FEMALE ASS'Y     CCN000002560000002560FN00000000020221201000002560NNM   20220901150120    4N0N  00000032000000738000000948032AG    XGXGY   005400370024
BI00B32AG    #XG22121LMW    202211047158-3003-90             RUBBER STOPPER           CCN000100000000100000FN00000000020221201000100000NNM   20220901150105    2C0C  00002000000000250000000306032AG    XGXGY   002700430014
BI00B32AG    #XG22122LMW    202211117158-3003-90             RUBBER STOPPER           CCN000040000000040000FN00000000020221201000040000NNM   20220901150105    2C0C  00002000000000250000000306032AG    XGXGY   002700430014
BI00B32AG    #XG22123LMW    202211187158-3003-90             RUBBER STOPPER           CCN000060000000060000FN00000000020221201000060000NNM   20220901150105    2C0C  00002000000000250000000306032AG    XGXGY   002700430014
BI00B32AG    #XG22124LMW    202211257158-3003-90             RUBBER STOPPER           CCN000040000000040000FN00000000020221201000040000NNM   20220901150105    2C0C  00002000000000250000000306032AG    XGXGY   002700430014
BI00B32AG    #XG22121LMW    202211047158-3008-80             RUBBER STOPPER           CCN000040000000040000FN00000000020221201000040000NNM   20220901150105    2C0C  00002000000000288000000343032AG    XGXGY   004300270014
BI00B32AG    #XG22123LMW    202211187158-3008-80             RUBBER STOPPER           CCN000020000000020000FN00000000020221201000020000NNM   20220901150105    2C0C  00002000000000288000000343032AG    XGXGY   004300270014
BI00B32AG    #XG22121LMW    202211047158-3120-90             CONNECTOR WIRE SEAL      CCN000060000000060000FN00000000020221201000060000NNM   20220901150105    2C0C  00002000000000136000000194032AG    XGXGY   002700430014
BI00B32AG    #XG22122LMW    202211117158-3120-90             CONNECTOR WIRE SEAL      CCN000040000000040000FN00000000020221201000040000NNM   20220901150105    2C0C  00002000000000136000000194032AG    XGXGY   002700430014
BI00B32AG    #XG22123LMW    202211187158-3120-90             CONNECTOR WIRE SEAL      CCN000060000000060000FN00000000020221201000060000NNM   20220901150105    2C0C  00002000000000136000000194032AG    XGXGY   002700430014
BI00B32AG    #XG22124LMW    202211257158-3120-90             CONNECTOR WIRE SEAL      CCN000020000000020000FN00000000020221201000020000NNM   20220901150105    2C0C  00002000000000136000000194032AG    XGXGY   002700430014
BI00B32AG    #XG22122LMW    202211117158-3121-80             WIRE SEAL                CCN000020000000020000FN00000000020221201000020000NNM   20220901150105    2C0C  00002000000000118000000187332AG    XGXGY   002700430014
BI00B32AG    #XG22123LMW    202211187158-3121-80             WIRE SEAL                CCN000020000000020000FN00000000020221201000020000NNM   20220901150105    2C0C  00002000000000118000000187332AG    XGXGY   002700430014
BI00B32AG    #XG22124LMW    202211257158-3121-80             WIRE SEAL                CCN000020000000020000FN00000000020221201000020000NNM   20220901150105    2C0C  00002000000000118000000187332AG    XGXGY   002700430014
BI00B32AG    #XG22121LMW    202211047158-3654-80             WIRE TUBE                CCN000080000000080000FN00000000020221201000080000NNM   20220901150105    2H0H  00004000000000104000000152232AG    XGXGY   004300270014
BI00B32AG    #XG22122LMW    202211117158-3654-80             WIRE TUBE                CCN000080000000080000FN00000000020221201000080000NNM   20220901150105    2H0H  00004000000000104000000152232AG    XGXGY   004300270014
BI00B32AG    #XG22123LMW    202211187158-3654-80             WIRE TUBE                CCN000080000000080000FN00000000020221201000080000NNM   20220901150105    2H0H  00004000000000104000000152232AG    XGXGY   004300270014
BI00B32AG    #XG22124LMW    202211257158-3654-80             WIRE TUBE                CCN000080000000080000FN00000000020221201000080000NNM   20220901150105    2H0H  00004000000000104000000152232AG    XGXGY   004300270014
BI00B32AG    #XG22121LMW    202211047182-9631-40             JOINT CONNECTOR          CCN000003000000003000FN00000000020221201000003000NNM   20220901150105    2F0F  00000300000001182000001307432AG    XGXGY   005400370024
BI00B32AG    #XG22122LMW    202211117182-9631-40             JOINT CONNECTOR          CCN000003000000003000FN00000000020221201000003000NNM   20220901150105    2F0F  00000300000001182000001307432AG    XGXGY   005400370024
BI00B32AG    #XG22123LMW    202211187182-9631-40             JOINT CONNECTOR          CCN000003000000003000FN00000000020221201000003000NNM   20220901150105    2F0F  00000300000001182000001307432AG    XGXGY   005400370024
BI00B32AG    #XG22124LMW    202211257182-9631-40             JOINT CONNECTOR          CCN000003000000003000FN00000000020221201000003000NNM   20220901150105    2F0F  00000300000001182000001307432AG    XGXGY   005400370024
BI00B32AG    #XG22121LMW    202211047182-9633-40             JOINT CONNECTOR          CCN000003000000003000FN00000000020221201000003000NNM   20220901150105    2F0F  00000300000001335000001460532AG    XGXGY   005400370024
BI00B32AG    #XG22122LMW    202211117182-9633-40             JOINT CONNECTOR          CCN000006000000006000FN00000000020221201000006000NNM   20220901150105    2F0F  00000300000001335000001460532AG    XGXGY   005400370024
BI00B32AG    #XG22123LMW    202211187182-9633-40             JOINT CONNECTOR          CCN000003000000003000FN00000000020221201000003000NNM   20220901150105    2F0F  00000300000001335000001460532AG    XGXGY   005400370024
BI00B32AG    #XG22124LMW    202211257182-9633-40             JOINT CONNECTOR          CCN000003000000003000FN00000000020221201000003000NNM   20220901150105    2F0F  00000300000001335000001460532AG    XGXGY   005400370024
BI00B32AG    XG22121NMW     202211047116-4120-02             TERMINAL                 CCN000012000000012000FN00000000020221201000012000NNM   20220901150233    4P0P  00000600000000780000001073632AG    XGXGY   006400630015
BI00B32AG    XG22122NMW     202211117116-4120-02             TERMINAL                 CCN000012000000012000FN00000000020221201000012000NNM   20220901150233    4P0P  00000600000000780000001073632AG    XGXGY   006400630015
BI00B32AG    XG22123NMW     202211187116-4120-02             TERMINAL                 CCN000018000000018000FN00000000020221201000018000NNM   20220901150233    4P0P  00000600000000780000001073632AG    XGXGY   006400630015
BI00B32AG    XG22124NMW     202211257116-4120-02             TERMINAL                 CCN000006000000006000FN00000000020221201000006000NNM   20220901150233    4P0P  00000600000000780000001073632AG    XGXGY   006400630015
