BI00B32AG    XG23014LMW     202212237289-4696-30             HOUSING FEMALE ASS'Y     CCN000008000000008000FN00000000020230101000008000NNM   20220929120719    4N0N  00000200000000913400001055432AG    XGXGY   005400370024
BI00B32AG    XG23011LMW     202212027289-7615-30             HOUSING FEMALE ASS'Y     CCN000002240000002240FN00000000020230101000002240NNM   20220929120719    4N0N  00000032000000738000000948032AG    XGXGY   005400370024
BI00B32AG    XG23012LMW     202212097289-7615-30             HOUSING FEMALE ASS'Y     CCN000002240000002240FN00000000020230101000002240NNM   20220929120719    4N0N  00000032000000738000000948032AG    XGXGY   005400370024
BI00B32AG    XG23013LMW     202212167289-7615-30             HOUSING FEMALE ASS'Y     CCN000002880000002880FN00000000020230101000002880NNM   20220929120719    4N0N  00000032000000738000000948032AG    XGXGY   005400370024
BI00B32AG    XG23014LMW     202212237289-7615-30             HOUSING FEMALE ASS'Y     CCN000002240000002240FN00000000020230101000002240NNM   20220929120719    4N0N  00000032000000738000000948032AG    XGXGY   005400370024
BI00B32AG    XG23011LMW     202212027298-1865-30             HOUSING FEMALE ASS'Y     CCN000002400000002400FN00000000020230101000002400NNM   20220929120719    4N0N  00000240000001003200001204532AG    XGXGY   005500360039
BI00B32AG    XG23011LMW     202212027298-2278-30             HOUSING FEMALE ASS'Y     CCN000004800000004800FN00000000020230101000004800NNM   20220929120719    4N0N  00000240000001091700001295432AG    XGXGY   005500360039
BI00B32AG    XG23012LMW     202212097298-2278-30             HOUSING FEMALE ASS'Y     CCN000002400000002400FN00000000020230101000002400NNM   20220929120719    4N0N  00000240000001091700001295432AG    XGXGY   005500360039
BI00B32AG    XG23013LMW     202212167298-2278-30             HOUSING FEMALE ASS'Y     CCN000002400000002400FN00000000020230101000002400NNM   20220929120719    4N0N  00000240000001091700001295432AG    XGXGY   005500360039
BI00B32AG    XG23014LMW     202212237298-2278-30             HOUSING FEMALE ASS'Y     CCN000002400000002400FN00000000020230101000002400NNM   20220929120719    4N0N  00000240000001091700001295432AG    XGXGY   005500360039
BI00B32AG    #XG23011LMW    202212027157-3950-80             SEAL RUBBER              CCN000040000000040000FN00000000020230101000040000NNM   20220929120719    2C0C  00004000000000154000000440332AG    XGXGY   002700430014
BI00B32AG    #XG23011LMW    202212027158-3003-90             RUBBER STOPPER           CCN000040000000040000FN00000000020230101000040000NNM   20220929120719    2C0C  00002000000000250000000306032AG    XGXGY   002700430014
BI00B32AG    #XG23012LMW    202212097158-3003-90             RUBBER STOPPER           CCN000040000000040000FN00000000020230101000040000NNM   20220929120719    2C0C  00002000000000250000000306032AG    XGXGY   002700430014
BI00B32AG    #XG23013LMW    202212167158-3003-90             RUBBER STOPPER           CCN000040000000040000FN00000000020230101000040000NNM   20220929120719    2C0C  00002000000000250000000306032AG    XGXGY   002700430014
BI00B32AG    #XG23014LMW    202212237158-3003-90             RUBBER STOPPER           CCN000040000000040000FN00000000020230101000040000NNM   20220929120719    2C0C  00002000000000250000000306032AG    XGXGY   002700430014
BI00B32AG    #XG23011LMW    202212027158-3120-90             CONNECTOR WIRE SEAL      CCN000040000000040000FN00000000020230101000040000NNM   20220929120719    2C0C  00002000000000136000000194032AG    XGXGY   002700430014
BI00B32AG    #XG23012LMW    202212097158-3120-90             CONNECTOR WIRE SEAL      CCN000040000000040000FN00000000020230101000040000NNM   20220929120719    2C0C  00002000000000136000000194032AG    XGXGY   002700430014
BI00B32AG    #XG23013LMW    202212167158-3120-90             CONNECTOR WIRE SEAL      CCN000040000000040000FN00000000020230101000040000NNM   20220929120719    2C0C  00002000000000136000000194032AG    XGXGY   002700430014
BI00B32AG    #XG23014LMW    202212237158-3120-90             CONNECTOR WIRE SEAL      CCN000020000000020000FN00000000020230101000020000NNM   20220929120719    2C0C  00002000000000136000000194032AG    XGXGY   002700430014
BI00B32AG    #XG23012LMW    202212097158-3121-80             WIRE SEAL                CCN000020000000020000FN00000000020230101000020000NNM   20220929120719    2C0C  00002000000000118000000187332AG    XGXGY   002700430014
BI00B32AG    #XG23013LMW    202212167158-3121-80             WIRE SEAL                CCN000020000000020000FN00000000020230101000020000NNM   20220929120719    2C0C  00002000000000118000000187332AG    XGXGY   002700430014
BI00B32AG    #XG23011LMW    202212027158-3654-80             WIRE TUBE                CCN000080000000080000FN00000000020230101000080000NNM   20220929120719    2H0H  00004000000000104000000152232AG    XGXGY   004300270014
BI00B32AG    #XG23012LMW    202212097158-3654-80             WIRE TUBE                CCN000080000000080000FN00000000020230101000080000NNM   20220929120719    2H0H  00004000000000104000000152232AG    XGXGY   004300270014
BI00B32AG    #XG23013LMW    202212167158-3654-80             WIRE TUBE                CCN000040000000040000FN00000000020230101000040000NNM   20220929120719    2H0H  00004000000000104000000152232AG    XGXGY   004300270014
BI00B32AG    #XG23014LMW    202212237158-3654-80             WIRE TUBE                CCN000080000000080000FN00000000020230101000080000NNM   20220929120719    2H0H  00004000000000104000000152232AG    XGXGY   004300270014
BI00B32AG    #XG23011LMW    202212027182-9631-40             JOINT CONNECTOR          CCN000003000000003000FN00000000020230101000003000NNM   20220929120719    2F0F  00000300000001182000001307432AG    XGXGY   005400370024
BI00B32AG    #XG23012LMW    202212097182-9631-40             JOINT CONNECTOR          CCN000003000000003000FN00000000020230101000003000NNM   20220929120719    2F0F  00000300000001182000001307432AG    XGXGY   005400370024
BI00B32AG    #XG23014LMW    202212237182-9631-40             JOINT CONNECTOR          CCN000003000000003000FN00000000020230101000003000NNM   20220929120719    2F0F  00000300000001182000001307432AG    XGXGY   005400370024
BI00B32AG    #XG23011LMW    202212027182-9633-40             JOINT CONNECTOR          CCN000006000000006000FN00000000020230101000006000NNM   20220929120719    2F0F  00000300000001335000001460532AG    XGXGY   005400370024
BI00B32AG    #XG23012LMW    202212097182-9633-40             JOINT CONNECTOR          CCN000003000000003000FN00000000020230101000003000NNM   20220929120719    2F0F  00000300000001335000001460532AG    XGXGY   005400370024
BI00B32AG    #XG23013LMW    202212167182-9633-40             JOINT CONNECTOR          CCN000003000000003000FN00000000020230101000003000NNM   20220929120719    2F0F  00000300000001335000001460532AG    XGXGY   005400370024
BI00B32AG    #XG23014LMW    202212237182-9633-40             JOINT CONNECTOR          CCN000003000000003000FN00000000020230101000003000NNM   20220929120719    2F0F  00000300000001335000001460532AG    XGXGY   005400370024
BI00B32AG    XG23011NMW     202212027116-4120-02             TERMINAL                 CCN000012000000012000FN00000000020230101000012000NNM   20220929120719    4P0P  00000600000000780000001073632AG    XGXGY   006400630015
BI00B32AG    XG23012NMW     202212097116-4120-02             TERMINAL                 CCN000006000000006000FN00000000020230101000006000NNM   20220929120719    4P0P  00000600000000780000001073632AG    XGXGY   006400630015
BI00B32AG    XG23013NMW     202212167116-4120-02             TERMINAL                 CCN000006000000006000FN00000000020230101000006000NNM   20220929120719    4P0P  00000600000000780000001073632AG    XGXGY   006400630015
