BI00B1200    Y022I50062     202208187289-9613-30             HOUSING FEMALE ASS'Y     CCN000003840000003840FN00000000020220901000003840NNMD0320220725151300    4N0N  0000002400000126990000154371200    YCYC    005500360039
BI00B1200    2399T52816     202209017289-9613-30             HOUSING FEMALE ASS'Y     CCN000000480000000480FN00000000020221001000000480NNM   20220725121513    4N0N  0000002400000126990000154371200    YCYC    005500360039
BI00B1200    2399T52817     202209087289-9613-30             HOUSING FEMALE ASS'Y     CCN000000480000000480FN00000000020221001000000480NNM   20220725121513    4N0N  0000002400000126990000154371200    YCYC    005500360039
BI00B1200    2399T52818     202209157289-9613-30             HOUSING FEMALE ASS'Y     CCN000000480000000480FN00000000020221001000000480NNM   20220725121513    4N0N  0000002400000126990000154371200    YCYC    005500360039
BI00B1200    #2399T52816    202209017289-4200-30             HOUSING FEMALE ASS'Y     CCN000018000000018000FN00000000020221001000018000NNM   20220725121513    2N0N  0000020000000092600000102101200    YCYC    005400370024
BI00B1200    #2399T52817    202209087289-4200-30             HOUSING FEMALE ASS'Y     CCN000018000000018000FN00000000020221001000018000NNM   20220725121513    2N0N  0000020000000092600000102101200    YCYC    005400370024
BI00B1200    #2399T52818    202209157289-4200-30             HOUSING FEMALE ASS'Y     CCN000016000000016000FN00000000020221001000016000NNM   20220725121513    2N0N  0000020000000092600000102101200    YCYC    005400370024
BI00B1200    2399T52819     202209227288-6598-70             HOUSING MALE ASS'Y       CCN000011520000011520FN00000000020221001000011520NNM   20220725121513    4N0N  0000014400000107420000142921200    YCYC    005500360039
BI00B1200    2399T52820     202209297288-6598-70             HOUSING MALE ASS'Y       CCN000011520000011520FN00000000020221001000011520NNM   20220725121513    4N0N  0000014400000107420000142921200    YCYC    005500360039
BI00B1200    2399T52819     202209227289-0269                HOUSING SUB ASSEMBLY     CCN000001600000001600FN00000000020221001000001600NNM   20220725121513    1N0N  0000016000000100210000123451200    YCYC    005500360039
BI00B1200    2399T52820     202209297289-0269                HOUSING SUB ASSEMBLY     CCN000001600000001600FN00000000020221001000001600NNM   20220725121513    1N0N  0000016000000100210000123451200    YCYC    005500360039
BI00B1200    2399T52819     202209227289-4212-80             SEALED HOUSING ASS'Y     CCN000022000000022000FN00000000020221001000022000NNM   20220725121513    4N0N  0000020000000084860000097861200    YCYC    005400370024
BI00B1200    2399T52820     202209297289-4212-80             SEALED HOUSING ASS'Y     CCN000022000000022000FN00000000020221001000022000NNM   20220725121513    4N0N  0000020000000084860000097861200    YCYC    005400370024
BI00B1200    2399T52819     202209227289-6160-30             HOUSING FEMALE ASS'Y     CCN000000800000000800FN00000000020221001000000800NNM   20220725121513    4N0N  0000001600000103740000132041200    YCYC    005500360039
BI00B1200    2399T52820     202209297289-6160-30             HOUSING FEMALE ASS'Y     CCN000000800000000800FN00000000020221001000000800NNM   20220725121513    4N0N  0000001600000103740000132041200    YCYC    005500360039
BI00B1200    2399T52819     202209227289-6518-30             HOUSING FEMALE ASS'Y     CCN000006000000006000FN00000000020221001000006000NNM   20220725121513    1N0N  0000012000000082920000104921200    YCYC    005500360039
BI00B1200    2399T52820     202209297289-6518-30             HOUSING FEMALE ASS'Y     CCN000006000000006000FN00000000020221001000006000NNM   20220725121513    1N0N  0000012000000082920000104921200    YCYC    005500360039
BI00B1200    2399T52819     202209227289-6523-30             HOUSING FEMALE ASS'Y     CCN000001440000001440FN00000000020221001000001440NNM   20220725121513    4N0N  0000002400000129050000162051200    YCYC    005500360039
BI00B1200    2399T52820     202209297289-6523-30             HOUSING FEMALE ASS'Y     CCN000001440000001440FN00000000020221001000001440NNM   20220725121513    4N0N  0000002400000129050000162051200    YCYC    005500360039
BI00B1200    2399T52819     202209227289-6868-30             SEALED ASSY FEMALE       CCN000063000000063000FN00000000020221001000063000NNM   20220725121513    4N0N  0000025200000083920000111921200    YCYC    005500360039
