BI00B32AF    JTB2092        202208197116-4121-02             TERMINAL                 CCN000009000000009000FN00000000020220901000009000NNM   20220704121957    4P0P  00000450000000618800000912432AF    HBYHVTB 006400630015
BI00B32AF    JTB2093        202208267116-4121-02             TERMINAL                 CCN000013500000013500FN00000000020220901000013500NNM   20220704121957    4P0P  00000450000000618800000912432AF    HBYHVTB 006400630015
BI00B32AF    JTB2094        202209027116-4121-02             TERMINAL                 CCN000018000000018000FN00000000020220901000018000NNM   20220704121957    4P0P  00000450000000618800000912432AF    HBYHVTB 006400630015
BI00B32AF    JTB2092        202208197116-4231-02             TERMINAL                 CCN000182000000182000FN00000000020220901000182000NNM   20220704121957    4P0P  00002600000000683800001012532AF    HBYHVTB 006400630017
BI00B32AF    JTB2093        202208267116-4231-02             TERMINAL                 CCN000208000000208000FN00000000020220901000208000NNM   20220704121957    4P0P  00002600000000683800001012532AF    HBYHVTB 006400630017
BI00B32AF    JTB2094        202209027116-4231-02             TERMINAL                 CCN000234000000234000FN00000000020220901000234000NNM   20220704121957    4P0P  00002600000000683800001012532AF    HBYHVTB 006400630017
BI00B32AF    JTB2091        202208117116-4416-02             TERMINAL                 CCN000064000000064000FN00000000020220901000064000NNM   20220704121957    4P0P  00003200000000518400000847132AF    HBYHVTB 006400630017
BI00B32AF    JTB2092        202208197116-4416-02             TERMINAL                 CCN000032000000032000FN00000000020220901000032000NNM   20220704121957    4P0P  00003200000000518400000847132AF    HBYHVTB 006400630017
BI00B32AF    JTB2093        202208267116-4416-02             TERMINAL                 CCN000032000000032000FN00000000020220901000032000NNM   20220704121957    4P0P  00003200000000518400000847132AF    HBYHVTB 006400630017
BI00B32AF    JTB2094        202209027116-4416-02             TERMINAL                 CCN000064000000064000FN00000000020220901000064000NNM   20220704121957    4P0P  00003200000000518400000847132AF    HBYHVTB 006400630017
BI00B32AF    JTB2091        202208117116-4486-02             TERMINAL                 CCN000336000000336000FN00000000020220901000336000NNM   20220704121957    4P0P  00002800000000666400000995132AF    HBYHVTB 006400630017
BI00B32AF    JTB2092        202208197116-4486-02             TERMINAL                 CCN000476000000476000FN00000000020220901000476000NNM   20220704121957    4P0P  00002800000000666400000995132AF    HBYHVTB 006400630017
BI00B32AF    JTB2093        202208267116-4486-02             TERMINAL                 CCN000448000000448000FN00000000020220901000448000NNM   20220704121957    4P0P  00002800000000666400000995132AF    HBYHVTB 006400630017
BI00B32AF    JTB2094        202209027116-4486-02             TERMINAL                 CCN000560000000560000FN00000000020220901000560000NNM   20220704121957    4P0P  00002800000000666400000995132AF    HBYHVTB 006400630017
BI00B32AF    JTB2091        202208117116-5042-02             TERMINAL                 CCN000675000000675000FN00000000020220901000675000NNM   20220704121957    4P0P  00001350000000560300000845532AF    HBYHVTB 006400630015
BI00B32AF    JTB2092        202208197116-5042-02             TERMINAL                 CCN000162000000162000FN00000000020220901000162000NNM   20220704121957    4P0P  00001350000000560300000845532AF    HBYHVTB 006400630015
BI00B32AF    JTB2093        202208267116-5042-02             TERMINAL                 CCN000189000000189000FN00000000020220901000189000NNM   20220704121957    4P0P  00001350000000560300000845532AF    HBYHVTB 006400630015
BI00B32AF    JTB2094        202209027116-5042-02             TERMINAL                 CCN000202500000202500FN00000000020220901000202500NNM   20220704121957    4P0P  00001350000000560300000845532AF    HBYHVTB 006400630015
BI00B32AF    JTB2091        202208117116-5043-02             TERMINAL FEMALE          CCN000024000000024000FN00000000020220901000024000NNM   20220704121957    4P0P  00001200000000559200000844432AF    HBYHVTB 006400630015
BI00B32AF    JTB2092        202208197116-5043-02             TERMINAL FEMALE          CCN000084000000084000FN00000000020220901000084000NNM   20220704121957    4P0P  00001200000000559200000844432AF    HBYHVTB 006400630015
BI00B32AF    JTB2093        202208267116-5043-02             TERMINAL FEMALE          CCN000096000000096000FN00000000020220901000096000NNM   20220704121957    4P0P  00001200000000559200000844432AF    HBYHVTB 006400630015
BI00B32AF    JTB2094        202209027116-5043-02             TERMINAL FEMALE          CCN000120000000120000FN00000000020220901000120000NNM   20220704121957    4P0P  00001200000000559200000844432AF    HBYHVTB 006400630015
BI00B32AF    JTB2093        202208267116-5044-02             TERMINAL                 CCN000048000000048000FN00000000020220901000048000NNM   20220704121957    4P0P  00001600000000641600000986332AF    HBYHVTB 006400630017
BI00B32AF    JTB2094        202209027116-5044-02             TERMINAL                 CCN000064000000064000FN00000000020220901000064000NNM   20220704121957    4P0P  00001600000000641600000986332AF    HBYHVTB 006400630017
BI00B32AF    JTB2092        202208197116-5097-02             TERMINAL                 CCN000022500000022500FN00000000020220901000022500NNM   20220704121957    4P0P  00002250000000531000000816232AF    HBYHVTB 006400630015
